Book_Id,Title,Author,Author_l-f,Additional_Authors,ISBN,ISBN13,My_Rating,Average_Rating,Publisher,Binding,Number_of_Pages,Year_Published,Original_Publication_Year,Date_Read,Date_Added,Bookshelves,Bookshelves_with_positions,Exclusive_Shelf,My_Review,Spoiler,Private_Notes,Read_Count,Recommended_For,Recommended_By,Owned_Copies,Original_Purchase_Date,Original_Purchase_Location,Condition,Condition_Description,BCID
36622739,The Courage to Be Disliked: The Japanese Phenomenon That Shows You How to Change Your Life and Achieve Real Happiness,Ichiro Kishimi,"Kishimi, Ichiro",Fumitake Koga,1501197274,9781501197277,3,4.1,Atria Books,Hardcover,288,2018,2013,7/26/18,7/25/18,,,read,,,,1,,,0,,,,,
27667,The Scientist in the Crib: What Early Learning Tells Us About the Mind,Alison Gopnik,"Gopnik, Alison","Andrew N. Meltzoff, Patricia K. Kuhl",688177883,9780688177881,0,3.84,William Morrow Paperbacks,Paperback,304,2000,1999,,12/5/19,"to-read, found","to-read (#78), found (#2)",to-read,,,,0,,,0,,,,,
1000141,The Path of Least Resistance for Managers,Robert Fritz,"Fritz, Robert",Peter M. Senge,1576750655,9781576750650,0,4.14,Berrett-Koehler Publishers,Paperback,156,1999,1999,,12/1/19,"to-read, might","to-read (#77), might (#38)",to-read,,,,0,,,0,,,,,
29633913,"Emergent Strategy: Shaping Change, Changing Worlds",adrienne maree brown,"brown, adrienne maree",,1849352607,9781849352604,0,4.33,A K Pr Distribution,Paperback,274,2017,2017,,11/29/19,to-read,to-read (#76),to-read,,,,0,,,0,,,,,
583785,The Systems Bible: The Beginner's Guide to Systems Large and Small: Being the Third Edition of Systemantics,John Gall,"Gall, John",,961825170,9780961825171,0,3.98,General Systemantics Press,Hardcover,314,2002,1977,,11/20/19,"to-read, might","to-read (#75), might (#37)",to-read,,,,0,,,0,,,,,
6986632,The Greatest Trade Ever: The Behind-the-Scenes Story of How John Paulson Defied Wall Street and Made Financial History,Gregory Zuckerman,"Zuckerman, Gregory",,385529910,9780385529914,0,4.04,Crown Business,Hardcover,304,2009,2009,,11/9/19,to-read,to-read (#74),to-read,,,,0,,,0,,,,,
44063692,What You Do Is Who You Are: How to Create Your Business Culture,Ben Horowitz,"Horowitz, Ben",,62871331,9780062871336,0,4.06,Harper Business,Hardcover,288,2019,2019,,11/6/19,to-read,to-read (#73),to-read,,,,0,,,0,,,,,
43889703,The Man Who Solved the Market: How Jim Simons Launched the Quant Revolution,Gregory Zuckerman,"Zuckerman, Gregory",,241309727,9780241309728,0,4.08,Portfolio Penguin,Paperback,359,2019,2019,,11/6/19,to-read,to-read (#72),to-read,,,,0,,,0,,,,,
20518872,The Three-Body Problem (Remembrance of Earth’s Past #1),Liu Cixin,"Cixin, Liu",Ken Liu,765377063,9780765377067,0,4.06,Tor Books,Hardcover,399,2014,2006,,10/19/19,"to-read, might","to-read (#71), might (#36)",to-read,,,,0,,,0,,,,,
35519,The Power of Myth,Joseph Campbell,"Campbell, Joseph",Bill Moyers,385418868,9780385418867,0,4.26,Anchor,Paperback,320,1988,1988,,6/14/18,"might, currently-reading","might (#3), currently-reading (#6)",currently-reading,,,,1,,,0,,,,,
2221909,The End of India,Khushwant Singh,"Singh, Khushwant",,143029940,9780143029946,0,3.88,Penguin Group,Hardcover,163,2003,2003,,8/26/19,"to-read, might","to-read (#70), might (#35)",to-read,,,,0,,,0,,,,,
13586932,The Outsiders: Eight Unconventional CEOs and Their Radically Rational Blueprint for Success,William N. Thorndike Jr.,"Jr., William N. Thorndike",,1422162672,9781422162675,0,4.25,Harvard Business Review Press,Hardcover,272,2012,2012,,7/11/19,to-read,to-read (#69),to-read,,,,0,,,0,,,,,
