Book_Id,Title,Author,Author_l-f,Additional_Authors,ISBN,ISBN13,My_Rating,Average_Rating,Publisher,Binding,Number_of_Pages,Year_Published,Original_Publication_Year,Date_Read,Date_Added,Bookshelves,Bookshelves_with_positions,Exclusive_Shelf,My_Review,Spoiler,Private_Notes,Read_Count,Recommended_For,Recommended_By,Owned_Copies,Original_Purchase_Date,Original_Purchase_Location,Condition,Condition_Description,BCID
28820444,The Elephant in the Brain: Hidden Motives in Everyday Life,Kevin Simler,"Simler, Kevin",Robin Hanson,,9780190496012,4,4.05,Oxford University Press,ebook,408,2017,2017,7/17/18,5/9/18,,,read,,,,1,,,0,,,,,
36319077,The Case Against Education: Why the Education System Is a Waste of Time and Money,Bryan Caplan,"Caplan, Bryan",,691174652,9780691174655,0,4.01,Princeton University Press,Hardcover,416,2018,2018,,7/16/18,"might, to-read","might (#10), to-read (#34)",to-read,,,,0,,,0,,,,,
40536148,High Growth Handbook,Elad Gil,"Gil, Elad",,1732265100,9781732265103,0,4.2,Stripe Press,Hardcover,344,2018,2018,,7/11/18,to-read,to-read (#33),to-read,,,,0,,,0,,,,,
1842,"Guns, Germs, and Steel: The Fates of Human Societies",Jared Diamond,"Diamond, Jared",,739467352,9780739467350,0,4.03,W.W. Norton & Company,Paperback,425,2005,1997,7/10/18,4/29/18,,,read,,,,1,,,0,,,,,
25744928,Deep Work: Rules for Focused Success in a Distracted World,Cal Newport,"Newport, Cal",,1455586692,9781455586691,0,4.2,Grand Central Publishing,Hardcover,296,2016,2016,,7/8/18,"might, to-read","might (#9), to-read (#32)",to-read,,,,0,,,0,,,,,
27068734,But What If We're Wrong? Thinking About the Present As If It Were the Past,Chuck Klosterman,"Klosterman, Chuck",,399184120,9780399184123,0,3.63,Blue Rider Press,Hardcover,262,2016,2016,,7/5/18,"to-read, might","to-read (#31), might (#8)",to-read,,,,0,,,0,,,,,
89158,Expert Political Judgment: How Good Is It? How Can We Know?,Philip E. Tetlock,"Tetlock, Philip E.",,691128715,9780691128719,0,4.02,Princeton University Press,Paperback,321,2006,2005,,7/5/18,to-read,to-read (#30),to-read,,,,0,,,0,,,,,
31353136,All Out War: The Full Story of How Brexit Sank Britain's Political Class,Tim Shipman,"Shipman, Tim",,,,0,4.33,William Collins,Kindle Edition,688,2016,2016,,7/5/18,"might, to-read","might (#7), to-read (#29)",to-read,,,,0,,,0,,,,,
25982542,I Am Not I,Jacob Needleman,"Needleman, Jacob",,162317015X,9781623170158,0,3.66,North Atlantic Books,ebook,120,2016,2016,,7/1/18,"to-read, might","to-read (#28), might (#6)",to-read,,,,0,,,0,,,,,
13642710,"Nexus (Nexus, #1)",Ramez Naam,"Naam, Ramez",,857662937,9780857662934,0,4.05,Angry Robot,Paperback,460,2012,2012,,7/1/18,to-read,to-read (#27),to-read,,,,0,,,0,,,,,
29358555,The Man Who Knew: The Life and Times of Alan Greenspan,Sebastian Mallaby,"Mallaby, Sebastian",,1594204845,9781594204845,0,4.33,Penguin Press,Hardcover,800,2016,2016,,7/1/18,"to-read, might","to-read (#26), might (#5)",to-read,,,,0,,,0,,,,,
337517,Things Hidden Since the Foundation of the World,René Girard,"Girard, René","Stephen Bann, Michael Metteer",804722153,9780804722155,0,4.31,Stanford University Press,Paperback,480,1987,1978,,6/26/18,to-read,to-read (#25),to-read,,,,0,,,0,,,,,
31850765,Energy and Civilization: A History,Vaclav Smil,"Smil, Vaclav",,262035774,9780262035774,0,4.11,The MIT Press,Hardcover,568,2017,2017,,6/23/18,to-read,to-read (#24),to-read,,,,0,,,0,,,,,
12935037,Principles (Summary),Ray Dalio,"Dalio, Ray",,,,0,4.16,www.bwater.com,ebook,106,2011,2011,,4/29/18,,,read,,,,1,,,0,,,,,
242530,The Hero's Journey: Joseph Campbell on His Life & Work (Works),Joseph Campbell,"Campbell, Joseph",Phil Cousineau,1577314042,9781577314042,0,4.39,New World Library,cloth,288,2003,1990,,6/14/18,"to-read, might","to-read (#23), might (#4)",to-read,,,,0,,,0,,,,,
21926865,The Accidental Superpower: The Next Generation of American Preeminence and the Coming Global Disorder,Peter Zeihan,"Zeihan, Peter",,1455583669,9781455583669,0,4.35,Twelve,Hardcover,384,2014,2014,,6/10/18,to-read,to-read (#22),to-read,,,,0,,,0,,,,,
6617037,"Debt: The First 5,000 Years",David Graeber,"Graeber, David",,1933633867,9781933633862,0,4.17,Melville House Publishing,Hardcover,534,2011,2011,,6/3/18,to-read,to-read (#21),to-read,,,,0,,,0,,,,,
816,Cryptonomicon,Neal Stephenson,"Stephenson, Neal",,,,0,4.24,Avon,Mass Market Paperback,1139,2002,1999,,6/3/18,to-read,to-read (#20),to-read,,,,0,,,0,,,,,
34758210,The Color of Money: Black Banks and the Racial Wealth Gap,Mehrsa Baradaran,"Baradaran, Mehrsa",,674970950,9780674970953,0,4.59,Belknap Press,Hardcover,371,2017,2017,,6/1/18,to-read,to-read (#19),to-read,,,,0,,,0,,,,,
25366656,"How the Other Half Banks: Exclusion, Exploitation, and the Threat to Democracy",Mehrsa Baradaran,"Baradaran, Mehrsa",,674286065,9780674286061,0,4.1,Harvard University Press,Hardcover,336,2015,2015,,6/1/18,to-read,to-read (#18),to-read,,,,0,,,0,,,,,
20828819,Emperor of All Maladies: A Biography of Cancer by Siddhartha Mukherjee l Summary & Study Guide,BookRags,"BookRags, BookRags",,,,0,4.4,,Kindle Edition,48,2012,2012,,5/18/18,to-read,to-read (#17),to-read,,,,0,,,0,,,,,
25698,An Inquiry into the Nature and Causes of the Wealth of Nations,Adam Smith,"Smith, Adam",,553585975,9780553585971,0,3.85,Arlington House,Leather Bound,1264,2003,1776,,5/17/18,to-read,to-read (#16),to-read,,,,0,,,0,,,,,
40745,Mindset: The New Psychology of Success,Carol S. Dweck,"Dweck, Carol S.",,,,0,4.06,Random House,Hardcover,276,2006,2006,,5/7/18,to-read,to-read (#15),to-read,,,,0,,,0,,,,,
24611598,America's Bank: The Epic Struggle to Create the Federal Reserve,Roger Lowenstein,"Lowenstein, Roger",,1594205493,9781594205491,0,3.81,Penguin Press,Hardcover,368,2015,2015,,5/7/18,to-read,to-read (#14),to-read,,,,0,,,0,,,,,
21866821,Lean B2B: Build Products Businesses Want,Etienne Garbugli,"Garbugli, Etienne",,1495296601,9781495296604,0,4.18,Createspace Independent Publishing Platform,Paperback,270,2014,2014,,5/7/18,to-read,to-read (#13),to-read,,,,0,,,0,,,,,
60509,Technological Revolutions and Financial Capital: The Dynamics of Bubbles and Golden Ages,Carlota Pérez,"Pérez, Carlota",,1843763311,9781843763314,0,4.37,Edward Elgar Pub,Paperback,224,2003,2002,,5/7/18,to-read,to-read (#12),to-read,,,,0,,,0,,,,,
36606376,Inadequate Equilibria: Where and How Civilizations Get Stuck,Eliezer Yudkowsky,"Yudkowsky, Eliezer",,,9781939311207,0,4.11,Machine Intelligence Research institute,ebook,167,2017,2017,,5/5/18,to-read,to-read (#11),to-read,,,,0,,,0,,,,,
36515770,Radical Markets: Uprooting Capitalism and Democracy for a Just Society,Eric A. Posner,"Posner, Eric A.",E. Glen Weyl,691177503,9780691177502,0,4.01,Princeton University Press,Hardcover,368,2018,2018,,5/5/18,to-read,to-read (#10),to-read,,,,0,,,0,,,,,
316767,The Box: How the Shipping Container Made the World Smaller and the World Economy Bigger,Marc Levinson,"Levinson, Marc",,691123241,9780691123240,0,3.86,Princeton University Press,Hardcover,376,2006,2006,,4/29/18,currently-reading,currently-reading (#1),currently-reading,,,,1,,,0,,,,,
24113,"Gödel, Escher, Bach: An Eternal Golden Braid",Douglas R. Hofstadter,"Hofstadter, Douglas R.",,465026567,9780465026562,0,4.28,Basic Books,Paperback,777,1999,1979,,5/1/18,to-read,to-read (#9),to-read,,,,0,,,0,,,,,
5546,The Feynman Lectures on Physics,Richard P. Feynman,"Feynman, Richard P.","Robert B. Leighton, Matthew L. Sands",805390456,9780805390452,0,4.6,Addison Wesley,Hardcover,1552,2005,1964,,4/29/18,to-read,to-read (#8),to-read,,,,0,,,0,,,,,
2547,The Prophet,Kahlil Gibran,"Gibran, Kahlil",,000100039X,9780001000391,0,4.22,Rupa & Co,Paperback,127,2010,1923,,4/29/18,"might, to-read","might (#1), to-read (#7)",to-read,,,,0,,,0,,,,,
703102,"Compilers: Principles, Techniques, and Tools",Alfred V. Aho,"Aho, Alfred V.","Ravi Sethi, Jeffrey D. Ullman",201100886,9780201100884,0,4.08,Addison-Wesley Publishing Company,Hardcover,796,1986,1986,,4/29/18,study,study (#20),read,,,,2,,,0,,,,,
166190,Computer Networks,Andrew S. Tanenbaum,"Tanenbaum, Andrew S.",,130661023,0076092022473,0,4.1,Prentice Hall,Hardcover,912,2002,1981,,4/29/18,,,read,,,,1,,,0,,,,,
166195,Modern Operating Systems,Andrew S. Tanenbaum,"Tanenbaum, Andrew S.",Herbert Bos,130313580,9780130313584,0,4.12,Prentice Hall,Hardcover,976,2001,1992,,4/29/18,,,read,,,,2,,,0,,,,,
227119,Understanding the Linux Kernel,Daniel P. Bovet,"Bovet, Daniel P.",Marco Cesati,596005652,9780596005658,0,4.09,O'Reilly Media,Paperback,923,2005,2000,,4/29/18,,,read,,,,1,,,0,,,,,
239240,"UNIX Network Programming, Volume 1: The Sockets Networking API",W. Richard Stevens,"Stevens, W. Richard","Bill Fenner, Andrew M. Rudoff",131411551,0076092025917,0,4.35,Addison-Wesley Professional,Hardcover,991,2003,2000,,4/29/18,study,study (#19),read,,,,1,,,0,,,,,
634583,Wings of Fire: An Autobiography,A.P.J. Abdul Kalam,"Kalam, A.P.J. Abdul",Arun Tiwari,8173711461,9788173711466,0,4.23,Universities Press,Paperback,180,2011,1999,,4/29/18,,,read,,,,1,,,0,,,,,
9418297,MongoDB: The Definitive Guide,Kristina Chodorow,"Chodorow, Kristina",Michael Dirolf,1449381561,9781449381561,0,3.84,O'Reilly Media,Paperback,216,2010,2010,,4/29/18,study,study (#18),read,,,,1,,,0,,,,,
1533141,Object-Oriented Programming in C++,Robert Lafore,"Lafore, Robert",,672323087,9780672323089,0,4.12,Sams Publishing,Paperback,1012,2001,1995,,4/29/18,study,study (#17),read,,,,0,,,0,,,,,
2602291,Programming In Ansi C,E. Balagurusamy,"Balagurusamy, E.",,74604015,9780074604014,0,3.95,McGraw Hill Education India Pvt Ltd,Paperback,425,1992,1994,,4/29/18,study,study (#16),read,,,,2,,,0,,,,,
22091126,OpenStack Operations Guide,Tom Fifield,"Fifield, Tom","Diane Fleming, Anne Gentle, Lorin Hochstein, Jonathan Proulx, Everett Toews, Joe Topjian",,,0,3.88,O'Reilly Media,Kindle Edition,330,2014,2014,,4/29/18,study,study (#15),read,,,,1,,,0,,,,,
135453,"Ivor Horton's Beginning Java 2, JDK",Ivor Horton,"Horton, Ivor",,764568744,9780764568749,0,3.21,Wrox Press,Paperback,1512,2005,2004,,4/29/18,study,study (#14),read,,,,1,,,0,,,,,
11435325,Your Unix/Linux: The Ultimate Guide,Sumitabha Das,"Das, Sumitabha",,73376205,9780073376202,0,4.03,McGraw-Hill Education,Hardcover,800,2012,2011,,4/29/18,study,study (#13),read,,,,1,,,0,,,,,
6308439,Hadoop: The Definitive Guide,Tom  White,"White, Tom",Doug Cutting,596521979,9780596521974,0,3.95,O'Reilly Media,Paperback,528,2009,2009,,4/29/18,study,study (#12),read,,,,1,,,0,,,,,
83833,Operating System Concepts,Abraham Silberschatz,"Silberschatz, Abraham","Peter Baer Galvin, Greg Gagne",471694665,9780471694663,0,3.9,John Wiley & Sons,Hardcover,944,2004,1985,,4/29/18,study,study (#11),read,,,,1,,,0,,,,,
231262,Head First Java,Kathy Sierra,"Sierra, Kathy",Bert Bates,596009208,9780596009205,0,4.23,O'Reilly Media,Paperback,688,2005,2003,,4/29/18,study,study (#10),read,,,,1,,,0,,,,,
105576,Five Point Someone: What Not to Do at IIT,Chetan Bhagat,"Bhagat, Chetan",,8129104598,9788129104595,0,3.43,Rupa Publications,Paperback,267,2011,2004,,4/29/18,,,read,,,,1,,,0,,,,,
3320520,The 3 Mistakes of My Life,Chetan Bhagat,"Bhagat, Chetan",,,9788129113726,0,3.02,Rupa & Co.,Paperback,258,2008,2008,,4/29/18,,,read,,,,2,,,0,,,,,
58129,Head First Servlets and JSP: Passing the Sun Certified Web Component Developer Exam,Bryan Basham,"Basham, Bryan","Bert Bates, Kathy Sierra",596005407,9780596005405,0,4.17,O'Reilly Media,Paperback,888,2004,2004,,4/29/18,study,study (#9),read,,,,2,,,0,,,,,
666032,Java 2: The Complete Reference,Herbert Schildt,"Schildt, Herbert",Herb Schildt,72224207,9780072224207,0,3.93,McGraw-Hill/Osborne Media,Paperback,1184,2002,2000,,4/29/18,study,study (#8),read,,,,2,,,0,,,,,
7183279,Metaprogramming Ruby,Paolo Perrotta,"Perrotta, Paolo",Paolo Perrotta,1934356476,9781934356470,0,4.29,Pragmatic Bookshelf,Paperback,296,2010,2010,,4/29/18,study,study (#7),read,,,,2,,,0,,,,,
7000391,Mr. Neighborly's Humble Little Ruby Book,Jeremy McAnally,"McAnally, Jeremy",,,,0,3.68,Jeremy McAnally,Paperback,127,2006,2006,,4/29/18,study,study (#6),read,,,,1,,,0,,,,,
16094292,OpenStack Cloud Computing Cookbook,Kevin Jackson,"Jackson, Kevin",,1849517320,9781849517324,0,3.21,Packt Publishing,Paperback,318,2012,2012,,4/29/18,study,study (#5),read,,,,1,,,0,,,,,
522100,The Standard C Library,P.J. Plauger,"Plauger, P.J.",,131315099,9780131315099,0,4.14,Pearson,Paperback,512,1991,1991,,4/29/18,study,study (#4),read,,,,1,,,0,,,,,
17219668,Ace the Programming Interview: 160 Questions and Answers for Success,Edward Guiness,"Guiness, Edward",,1118518624,9781118518625,0,3.64,Wiley,ebook,448,2013,2013,,4/29/18,study,study (#3),read,,,,1,,,0,,,,,
13654930,The Official Guide to the GRE Revised General Test [with CD-ROM],Educational Testing Service,"Service, Educational Testing",,007179123X,9780071791236,0,3.69,McGraw-Hill Education,Paperback,563,2012,2007,,4/29/18,study,study (#2),read,,,,1,,,0,,,,,
387742,Barron's GRE,Sharon Weiner Green,"Green, Sharon Weiner",Ira K. Wolf,764135414,9780764135415,0,3.69,Barrons Educational Series,Paperback,560,2007,2000,,4/29/18,study,study (#1),read,,,,1,,,0,,,,,
7776209,The Rational Optimist: How Prosperity Evolves,Matt Ridley,"Ridley, Matt",,006145205X,9780061452055,0,3.97,Harper,Hardcover,448,2010,2010,,4/29/18,to-read,to-read (#6),to-read,,,,0,,,0,,,,,
22609444,"Bold: How to Go Big, Create Wealth and Impact the World",Peter H. Diamandis,"Diamandis, Peter H.",Steven Kotler,1476709564,9781476709567,0,4.01,Simon  Schuster,Hardcover,336,2015,2015,,4/29/18,to-read,to-read (#5),to-read,,,,0,,,0,,,,,
10483171,The Beginning of Infinity: Explanations That Transform the World,David Deutsch,"Deutsch, David",,670022756,9780670022755,0,4.12,Viking,Hardcover,487,2011,2011,,4/29/18,to-read,to-read (#4),to-read,,,,0,,,0,,,,,
82256,The Sovereign Individual: Mastering the Transition to the Information Age,James Dale Davidson,"Davidson, James Dale",William Rees-Mogg,684832720,9780684832722,0,4.23,Touchstone,Paperback,448,1999,1997,,4/29/18,to-read,to-read (#3),to-read,,,,0,,,0,,,,,
10260,The Pleasure of Finding Things Out: The Best Short Works of Richard P. Feynman,Richard P. Feynman,"Feynman, Richard P.","Jeffrey Robbins, Freeman Dyson",,,0,4.24,Basic Books,Paperback,270,2005,1999,,4/29/18,to-read,to-read (#2),to-read,,,,0,,,0,,,,,
324748,The Dip: A Little Book That Teaches You When to Quit (and When to Stick),Seth Godin,"Godin, Seth",,1591841666,9781591841661,0,3.84,Portfolio,Hardcover,80,2007,2007,,4/29/18,,,read,,,,1,,,0,,,,,
31170723,Behave: The Biology of Humans at Our Best and Worst,Robert M. Sapolsky,"Sapolsky, Robert M.",,1594205078,9781594205071,0,4.42,Penguin Press,Hardcover,790,2017,2017,,4/29/18,,,read,,,,1,,,0,,,,,
35167718,"""What Do You Care What Other People Think?"": Further Adventures of a Curious Character",Richard P. Feynman,"Feynman, Richard P.",Ralph Leighton,393355640,9780393355642,0,4.21,W. W. Norton  Company,Paperback,288,2018,1988,,4/29/18,,,read,,,,1,,,0,,,,,
13530973,Antifragile: Things That Gain from Disorder,Nassim Nicholas Taleb,"Taleb, Nassim Nicholas",,1400067820,9781400067824,0,4.1,Random House,Hardcover,426,2012,2012,,4/29/18,,,read,,,,2,,,0,,,,,
27220736,Shoe Dog: A Memoir by the Creator of NIKE,Phil Knight,"Knight, Phil",,1501135910,9781501135910,0,4.48,Scribner,Hardcover,400,2016,2016,,4/29/18,,,read,,,,1,,,0,,,,,
6342995,The Score Takes Care of Itself: My Philosophy of Leadership,Bill   Walsh,"Walsh, Bill","Steve Jamison, Craig Walsh",1591842662,9781591842668,0,4.25,Portfolio Hardcover,Hardcover,288,2009,2009,,4/29/18,,,read,,,,1,,,0,,,,,
34889281,The Dawn of Eurasia: On the Trail of the New World Order,Bruno Maçães,"Maçães, Bruno",,241309255,9780241309254,0,3.93,Allen Lane,Hardcover,304,2018,2018,,4/29/18,to-read,to-read (#1),to-read,,,,0,,,0,,,,,
25541028,"Elon Musk: Tesla, SpaceX, and the Quest for a Fantastic Future",Ashlee Vance,"Vance, Ashlee",,62301233,9780062301239,0,4.21,Ecco,Hardcover,392,2015,2015,,11/12/17,,,read,,,,1,,,0,,,,,
27213329,Grit: The Power of Passion and Perseverance,Angela Duckworth,"Duckworth, Angela",,1443442313,9781443442312,4,4.09,Collins,Hardcover,277,2016,2016,,11/12/17,,,read,,,,1,,,0,,,,,
1713426,Predictably Irrational: The Hidden Forces That Shape Our Decisions,Dan Ariely,"Ariely, Dan",,,,4,4.13,HarperCollins Canada ,Hardcover,400,2008,2008,,2/26/17,,,read,,,,1,,,0,,,,,
18050143,"Zero to One: Notes on Startups, or How to Build the Future",Peter Thiel,"Thiel, Peter",Blake  Masters,804139296,9780804139298,4,4.17,Crown Business,Hardcover,195,2014,2014,,11/12/17,,,read,,,,1,,,0,,,,,
31823677,"Tools of Titans: The Tactics, Routines, and Habits of Billionaires, Icons, and World-Class Performers",Timothy Ferriss,"Ferriss, Timothy",Arnold Schwarzenegger,,,3,4.09,Houghton Mifflin Harcourt,Kindle Edition,707,2016,2016,,1/26/17,,,read,,,,1,,,0,,,,,
22668729,Hooked: How to Build Habit-Forming Products,Nir   Eyal,"Eyal, Nir",,1591847788,9781591847786,4,4.09,Portfolio,Hardcover,256,2014,2013,,11/12/17,,,read,,,,1,,,0,,,,,
5544,"Surely You're Joking, Mr. Feynman!: Adventures of a Curious Character",Richard P. Feynman,"Feynman, Richard P.",Микола Климчук,393316041,9780393316049,4,4.27,W. W. Norton & Company,Paperback,391,1997,1985,,11/12/17,,,read,,,,1,,,0,,,,,
23692271,Sapiens: A Brief History of Humankind,Yuval Noah Harari,"Harari, Yuval Noah",,,,5,4.41,Harvill Secker,Paperback,498,2014,2011,,11/12/17,,,read,,,,1,,,0,,,,,
18176747,The Hard Thing About Hard Things: Building a Business When There Are No Easy Answers,Ben Horowitz,"Horowitz, Ben",,62273205,9780062273208,4,4.24,Harper Business,Hardcover,304,2014,2014,,11/12/17,,,read,,,,1,,,0,,,,,
11468377,"Thinking, Fast and Slow",Daniel Kahneman,"Kahneman, Daniel",,374275637,9780374275631,4,4.16,"Farrar, Straus and Giroux",Hardcover,499,2011,2011,,11/12/17,,,read,,,,1,,,0,,,,,
51291,How to Lie with Statistics,Darrell Huff,"Huff, Darrell",Irving Geis,393310728,9780393310726,3,3.87,W. W. Norton & Company,Paperback,142,1982,1954,,11/12/17,,,read,,,,1,,,0,,,,,
2615,The Innovator's Dilemma: The Revolutionary Book that Will Change the Way You Do Business,Clayton M. Christensen,"Christensen, Clayton M.",L.J. Ganser,60521996,9780060521998,4,4.01,Harper Paperbacks,Paperback,286,2003,1997,,11/12/17,,,read,,,,1,,,0,,,,,
41793,Hackers & Painters: Big Ideas from the Computer Age,Paul Graham,"Graham, Paul","Allen Noren, Matt Hutchinson",596006624,9780596006624,4,4.05,O'Reilly Media,Hardcover,272,2004,2004,,11/12/17,,,read,,,,1,,,0,,,,,
61535,The Selfish Gene,Richard Dawkins,"Dawkins, Richard",,199291152,9780199291151,4,4.14,"Oxford University Press, USA",Paperback,360,2006,1976,,11/12/17,,,read,,,,1,,,0,,,,,
25614523,Originals: How Non-Conformists Move the World,Adam M. Grant,"Grant, Adam M.",,525429565,9780525429562,0,3.96,Viking,Hardcover,326,2016,2016,,11/12/17,,,read,,,,1,,,0,,,,,
1202,Freakonomics: A Rogue Economist Explores the Hidden Side of Everything,Steven D. Levitt,"Levitt, Steven D.",Stephen J. Dubner,61234001,9780061234002,0,3.98,William Morrow,Hardcover,320,2006,2005,,11/12/17,,,read,,,,1,,,0,,,,,
3228917,Outliers: The Story of Success,Malcolm Gladwell,"Gladwell, Malcolm",,316017922,9780316017923,0,4.16,"Little, Brown and Company",Hardcover,309,2008,2008,,11/12/17,,,read,,,,1,,,0,,,,,
36072,The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,Stephen R. Covey,"Covey, Stephen R.",Jim Collins,743269519,9780743269513,0,4.12,Free Press,Paperback,372,2004,1989,,11/12/17,,,read,,,,1,,,0,,,,,
6900,Tuesdays with Morrie,Mitch Albom,"Albom, Mitch",,751529818,9780751529814,0,4.11,Warner,Paperback,210,2000,1997,,11/12/17,,,read,,,,1,,,0,,,,,
11084145,Steve Jobs,Walter Isaacson,"Isaacson, Walter",,1451648537,9781451648539,0,4.14,Simon & Schuster,Hardcover,627,2011,2011,,11/12/17,,,read,,,,1,,,0,,,,,
2998152,JavaScript: The Good Parts,Douglas Crockford,"Crockford, Douglas",,596517742,9780596517748,0,4.23,Yahoo Press,Paperback,153,2008,2008,,11/12/17,,,read,,,,1,,,0,,,,,
13425570,How Will You Measure Your Life?,Clayton M. Christensen,"Christensen, Clayton M.","James Allworth, Karen Dillon",62102427,9780062102423,0,4.08,Harper Business,ebook,240,2012,2012,,11/12/17,,,read,,,,1,,,0,,,,,
6732019,Rework,Jason Fried,"Fried, Jason",David Heinemeier Hansson,307463745,9780307463746,0,3.95,Crown Business,Hardcover,279,2010,2010,,11/12/17,,,read,,,,1,,,0,,,,,
136251,"Harry Potter and the Deathly Hallows (Harry Potter, #7)",J.K. Rowling,"Rowling, J.K.",,545010225,9780545010221,0,4.62,Arthur A. Levine Books / Scholastic Inc.,Hardcover,759,2007,2007,,11/12/17,,,read,,,,1,,,0,,,,,
1,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",J.K. Rowling,"Rowling, J.K.",,,,0,4.57,Scholastic Inc.,Paperback,652,2006,2005,,11/12/17,,,read,,,,1,,,0,,,,,
2,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",J.K. Rowling,"Rowling, J.K.",Mary GrandPré,439358078,9780439358071,0,4.5,Scholastic Inc.,Paperback,870,2004,2003,,11/12/17,,,read,,,,1,,,0,,,,,
6,"Harry Potter and the Goblet of Fire (Harry Potter, #4)",J.K. Rowling,"Rowling, J.K.",Mary GrandPré,,,0,4.56,Scholastic,Paperback,734,2002,2000,,11/12/17,,,read,,,,1,,,0,,,,,
5,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",J.K. Rowling,"Rowling, J.K.",Mary GrandPré,043965548X,9780439655484,0,4.57,Scholastic Inc.,Mass Market Paperback,435,2004,1999,,11/12/17,,,read,,,,1,,,0,,,,,
15881,"Harry Potter and the Chamber of Secrets (Harry Potter, #2)",J.K. Rowling,"Rowling, J.K.",Mary GrandPré,439064864,9780439064866,0,4.43,Arthur A. Levine Books / Scholastic Inc.,Hardcover,341,1999,1998,,11/12/17,,,read,,,,1,,,0,,,,,
3,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",J.K. Rowling,"Rowling, J.K.",Mary GrandPré,,,0,4.47,Scholastic Inc,Hardcover,309,2003,1997,,11/12/17,,,read,,,,1,,,0,,,,,
6452796,Drive: The Surprising Truth About What Motivates Us,Daniel H. Pink,"Pink, Daniel H.",,1594488843,9781594488849,0,3.95,Riverhead Books,Hardcover,242,2009,2009,,11/12/17,,,read,,,,1,,,0,,,,,
4069,Man's Search for Meaning,Viktor E. Frankl,"Frankl, Viktor E.","Harold S. Kushner, William J. Winslade, Isle Lasch",080701429X,9780807014295,0,4.36,Beacon Press,Paperback,165,2006,1946,,11/12/17,,,read,,,,1,,,0,,,,,
